ProjID,ProjUrl,UserUrl,Title,Category,Subcategory,Cancelled,Goal,Currency,Comments,Updates,Videos,Images,MainImgOrVid,Gif,startD,startM,startY,endD,endM,endY,StartDate,EndDate,Sum of Invests,Country,City,Backed,Created,Unsuccessful,Cancelled,Commented,FacebookFriends,WebsitesAmount,Age,Succeeded
1,2044486203/citizen-carpentry-community-workshop-and-tool-shar,2044486203,Citizen Carpentry Community Workshop & Tool Share (Canceled),crafts,woodworking,0,53753,USD,1,1,2,11,0,0,27,12,2016,14,2,2017,42731,42780,53753,Spain,Valencia,12,1,0,1,0,1317,2,33,1
2,1498616534/simbin,1498616534,SIMBIN,design,interactive design,0,886,EUR,0,0,1,0,0,0,27,7,2016,10,9,2016,42578,42623,886,Ukraine,Odessa,0,1,1,0,0,0,0,41,1
3,2019826059/photographing-places-i-love-mountains-of-eastern-k,2019826059,"Photographing Places I Love, Mountains of Eastern Kentucky",photography,nature,0,135,USD,0,0,1,0,0,0,6,4,2015,19,4,2018,42100,43209.34,135,Ukraine,Lviv,0,1,0,1,0,0,0,56,1
4,184955320/how-to-breathe-underwater-in-the-black-box-debut-2,184955320,How to Breathe Underwater/In the Black Box -- debut 2LP,music,pop,0,16013,USD,1,4,2,8,1,0,9,6,2016,4,7,2016,42530,42555,16013,Ukraine,Dnipro,2,1,0,0,0,0,5,49,1
5,760226815/backpackable-high-resolution-uav-habitat-mapping-s,760226815,Backpackable one-person high resolution UAV mapping system,technology,flight,0,282,USD,2,1,1,1,0,0,10,4,2014,10,5,2014,41739,41769,282,Ukraine,Donetsk,0,1,1,0,1,94,1,39,1
6,1430060595/love-story,1430060595,LOVE STORY,music,world music,0,3110,USD,0,0,1,0,0,0,14,8,2013,13,9,2013,41500,41530,3110,Ukraine,Kiev,0,1,1,0,0,0,0,33,1
7,521314400/mens-athleisure-innovative-fashion-sportswear-comb,521314400,Athleisure - Innovative Fashion / Sportswear combined,fashion,apparel,0,14424,GBP,7,0,1,12,1,2,27,10,2018,26,11,2018,43400,43430,14424,Ukraine,Odessa,0,2,2,0,2,0,3,62,1
8,2147136997/trinaad-the-sound-of-three-worlds-new-album,2147136997,"TRINAAD The sound of three Worlds"" new album""",music,world music,0,23390,EUR,0,1,1,0,0,0,8,4,2017,8,5,2017,42833,42863,23390,Ukraine,Lviv,3,1,1,0,0,0,4,60,1
9,533614462/detroit-revue-concert,533614462,Detroit Revue Concert,music,world music,1,36429,USD,0,0,1,1,0,0,4,8,2013,10,9,2013,41490,41527,11840,Ukraine,Dnipro,0,1,1,0,0,0,1,54,0
10,1319958753/lets-commit-to-a-murder-she-wrote-album-of-pop-son,1319958753,"Let's Commit (to) a MURDER, SHE WROTE Album of Pop Songs!",music,pop,0,7463,USD,1,19,1,1,1,0,7,3,2016,6,4,2016,42436,42466,7463,Ukraine,Donetsk,7,1,0,0,0,1635,5,42,1
